Provider,Claims_InscClaimAmtReimbursed_count,Claims_InscClaimAmtReimbursed_sum,Claims_InscClaimAmtReimbursed_mean,Claims_InscClaimAmtReimbursed_std,Claims_InscClaimAmtReimbursed_max,Claims_InscClaimAmtReimbursed_min,Claims_DeductibleAmtPaid_sum,Claims_DeductibleAmtPaid_mean,Claims_DeductibleAmtPaid_std,Claims_ClaimDuration_mean,Claims_ClaimDuration_std,Claims_ClaimDuration_max,Claims_ReimbursementPerDay_mean,Claims_ReimbursementPerDay_std,Claims_ClaimType_<lambda>,Claims_IsWeekendClaim_mean,Claims_IsHighCostClaim_mean,Beneficiary_Age_mean,Beneficiary_Age_std,Beneficiary_Age_min,Beneficiary_Age_max,Beneficiary_TotalChronicConditions_mean,Beneficiary_TotalChronicConditions_sum,Beneficiary_TotalChronicConditions_std,Beneficiary_TotalAnnualReimbursement_mean,Beneficiary_TotalAnnualReimbursement_sum,Beneficiary_TotalAnnualDeductible_mean,Beneficiary_TotalAnnualDeductible_sum,Beneficiary_IsDeceased_mean,Beneficiary_Gender_<lambda>,Beneficiary_Race_nunique,UniquePhysicians_Count,UniqueBeneficiaries_Count,TotalClaims_Count,ClaimTimeSpan_Days,PotentialFraud,Avg_Reimbursement_per_Beneficiary,Claims_per_Beneficiary,Reimbursement_per_Claim
PRV51015,8,700,87.5,74.01737247816507,200,10,0.0,0.0,0.0,1.375,1.0606601717798212,4,68.75,58.903674394241804,0.0,0.25,0.0,71.85714285714286,12.733532783279633,57,94,15.428571428571429,108,2.5071326821120348,2905.714285714286,20340,586.5714285714286,4106,0.0,0.0,2,3,7,8,260,0,100.0,1.1428571428571428,87.5
PRV51016,6,170,28.333333333333332,37.638632635454044,90,0,0.0,0.0,0.0,1.3333333333333333,0.816496580927726,3,28.333333333333332,37.638632635454044,0.0,0.16666666666666666,0.0,70.5,13.823892360692051,44,82,16.5,99,1.0488088481701519,878.3333333333334,5270,295.0,1770,0.0,0.5,2,3,6,6,232,0,28.333333333333332,1.0,28.333333333333332
PRV51017,515,142720,277.126213592233,570.1818038894332,3300,0,1050.0,2.0388349514563107,12.043955109147062,2.3572815533980584,4.521943943866222,21,201.6673094076563,437.05023243695535,0.0,0.2757281553398058,0.17281553398058253,72.27142857142857,12.183859696135892,26,100,17.752380952380953,7456,2.252682102836135,5449.166666666667,2288650,1019.7904761904762,428312,0.011904761904761904,0.4357142857142857,4,113,420,515,379,0,339.8095238095238,1.2261904761904763,277.126213592233
PRV51021,257,348830,1357.3151750972763,4462.486890505436,57000,0,31492.0,122.53696498054475,338.03754586926465,3.0,5.02726938804755,21,426.42160684487305,752.6075535771142,0.11284046692607004,0.25680933852140075,0.31906614785992216,73.27403846153847,12.630264207458389,28,98,17.53846153846154,3648,2.3006954500909327,6678.942307692308,1389220,1195.9807692307693,248764,0.004807692307692308,0.4519230769230769,2,69,208,257,382,1,1677.0673076923076,1.2355769230769231,1357.3151750972763
PRV51023,36,65610,1822.5,3084.6980634832225,13000,0,8624.0,246.4,453.9512282691378,4.666666666666667,6.961116495013056,21,609.2724867724868,1260.199204156858,0.25,0.25,0.5277777777777778,72.34285714285714,13.004394861518382,47,95,17.571428571428573,615,2.3425189343916077,7887.714285714285,276070,1597.0285714285715,55896,0.0,0.4,2,14,35,36,347,0,1874.5714285714287,1.0285714285714285,1822.5
PRV51024,39,64050,1642.3076923076924,3334.4891990563538,13000,10,9702.0,248.76923076923077,454.7224984617404,2.641025641025641,3.814702716479321,21,412.68120768120764,726.9481662453766,0.23076923076923078,0.28205128205128205,0.3076923076923077,67.71052631578948,14.558192445598204,36,90,17.236842105263158,655,2.572560093341827,6680.789473684211,253870,1307.7368421052631,49694,0.0,0.4473684210526316,2,13,38,39,360,0,1685.5263157894738,1.0263157894736843,1642.3076923076924
PRV51025,87,118350,1360.344827586207,3052.031899721988,17000,0,14284.0,164.183908045977,381.59562575913134,3.1724137931034484,5.496736656716958,29,482.01961006360534,852.473197854197,0.14942528735632185,0.3103448275862069,0.3448275862068966,73.22368421052632,13.240945267576157,33,100,17.67105263157895,1343,2.1253276321216092,6192.631578947368,470640,1121.9736842105262,85270,0.0,0.47368421052631576,2,35,76,87,376,0,1557.2368421052631,1.144736842105263,1360.344827586207
PRV51026,76,19840,261.05263157894734,668.7831316600191,3300,0,340.0,4.473684210526316,17.84337313717002,2.0921052631578947,4.342587958284621,21,228.23851909184725,640.9045971517631,0.0,0.3157894736842105,0.13157894736842105,69.0,14.65109366069801,33,95,17.946428571428573,1005,2.6244974781826365,5845.535714285715,327350,1117.5714285714287,62584,0.017857142857142856,0.4642857142857143,2,29,56,76,356,0,354.2857142857143,1.3571428571428572,261.05263157894734
PRV51027,53,29840,563.0188679245283,1044.0446219937528,3300,0,0.0,0.0,0.0,3.1320754716981134,5.8178694747273,21,264.0257017615508,599.7824709547056,0.0,0.3018867924528302,0.22641509433962265,71.77272727272727,13.966510836538447,40,94,17.34090909090909,763,2.079167787653934,8108.181818181818,356760,1403.6818181818182,61762,0.022727272727272728,0.4772727272727273,3,10,44,53,355,0,678.1818181818181,1.2045454545454546,563.0188679245283
PRV51029,93,30660,329.6774193548387,618.3119580109661,3300,0,160.0,1.7204301075268817,11.76062479059555,1.6989247311827957,3.263050540710264,21,274.2972350230415,498.1692594460696,0.0,0.3548387096774194,0.23655913978494625,70.92405063291139,12.743799047036548,34,99,18.227848101265824,1440,2.297988903861807,4784.93670886076,378010,847.493670886076,66952,0.012658227848101266,0.43037974683544306,2,38,79,93,354,0,388.1012658227848,1.1772151898734178,329.6774193548387
PRV51030,171,739760,4326.081871345029,6972.1108605702175,57000,0,86748.0,510.2823529411765,533.8603990953455,4.1988304093567255,4.946323510555072,24,1087.540753593385,1560.973871527586,0.47953216374269003,0.3216374269005848,0.5906432748538012,71.32413793103449,14.050446196266375,26,100,17.30344827586207,2509,2.0592748788881794,9125.310344827587,1323170,1515.0344827586207,219680,0.013793103448275862,0.41379310344827586,2,46,145,171,360,0,5101.793103448276,1.1793103448275861,4326.081871345029
PRV51031,185,359720,1944.4324324324325,6540.990221125198,68000,0,30244.0,163.48108108108107,383.22962653088143,3.0,4.937654785686084,21,444.0469961708352,1105.1015589073395,0.15135135135135136,0.2756756756756757,0.24864864864864866,72.54140127388536,14.579793905660566,29,99,17.178343949044585,2697,2.2884973927968875,7803.630573248408,1225170,1192.2292993630574,187180,0.006369426751592357,0.39490445859872614,3,60,157,185,357,0,2291.2101910828023,1.178343949044586,1944.4324324324325
PRV51032,23,5420,235.65217391304347,596.2063865273236,2900,10,50.0,2.1739130434782608,8.5048230910629,1.9130434782608696,2.7454597806405077,13,105.0613154960981,135.84804084040059,0.0,0.17391304347826086,0.08695652173913043,70.61904761904762,12.788573769096342,44,90,17.428571428571427,366,2.6186146828319083,9460.952380952382,198680,1549.7142857142858,32544,0.047619047619047616,0.38095238095238093,2,10,21,23,336,0,258.0952380952381,1.0952380952380953,235.65217391304347
PRV51035,30,32560,1085.3333333333333,5274.670594933628,29000,0,1428.0,47.6,195.31152834241058,3.2666666666666666,5.619751702290973,21,154.49074074074076,357.0800805502654,0.03333333333333333,0.3,0.13333333333333333,74.64,15.681411501094752,37,98,17.36,434,2.325224003546038,4724.8,118120,789.36,19734,0.0,0.36,2,18,25,30,374,0,1302.4,1.2,1085.3333333333333
PRV51036,278,74880,269.3525179856115,579.1512632739048,4400,0,1410.0,5.071942446043166,20.299967202324442,2.050359712230216,4.002388710958206,21,219.7019879248508,499.2720619548963,0.0,0.34172661870503596,0.19784172661870503,71.68702290076335,12.518960370614247,28,100,18.12213740458015,2374,2.395582154278543,6305.954198473282,826080,886.5190839694657,116134,0.0,0.4351145038167939,2,5,131,278,364,0,571.6030534351145,2.122137404580153,269.3525179856115
PRV51037,454,342230,753.8105726872246,2427.046146481494,23000,0,25524.0,56.220264317180614,234.33333163877433,2.5330396475770924,4.707094923254273,21,338.8700460088125,725.9545735690189,0.05066079295154185,0.29515418502202645,0.2643171806167401,71.49029126213593,14.22150219888185,28,100,17.854368932038835,3678,2.5198055170415463,4839.077669902913,996850,894.7669902912621,184322,0.014563106796116505,0.45145631067961167,2,3,206,454,375,1,1661.3106796116506,2.203883495145631,753.8105726872246
PRV51038,141,265490,1882.9078014184397,3612.4397254501177,17000,0,31192.0,222.8,433.6802389321973,2.780141843971631,4.107644786738781,25,598.4750993687164,1037.5604261219867,0.2127659574468085,0.22695035460992907,0.3829787234042553,70.97196261682242,12.955990778600956,33,95,17.327102803738317,1854,2.2351214602705327,7154.112149532711,765490,1127.8130841121495,120676,0.009345794392523364,0.37383177570093457,2,44,107,141,373,0,2481.214953271028,1.3177570093457944,1882.9078014184397
PRV51040,86,74470,865.9302325581396,3171.5249172846784,21000,0,8784.0,103.34117647058824,313.17960589128154,2.6627906976744184,5.523448337057904,34,250.51117806442164,491.92899405899095,0.10465116279069768,0.22093023255813954,0.1744186046511628,71.07246376811594,14.629059356777152,32,99,17.91304347826087,1236,2.292822114356419,10080.144927536232,695530,1101.1884057971015,75982,0.014492753623188406,0.4782608695652174,3,15,69,86,381,0,1079.2753623188405,1.2463768115942029,865.9302325581396
PRV51041,34,7410,217.94117647058823,562.4232171797465,3200,0,270.0,7.9411764705882355,24.09317918877581,3.3529411764705883,6.29998726762146,21,120.99673202614379,199.92413755414483,0.0,0.11764705882352941,0.11764705882352941,69.96774193548387,12.568436314746931,38,90,17.967741935483872,557,2.152268120963587,3798.7096774193546,117760,942.3870967741935,29214,0.0,0.45161290322580644,2,9,31,34,353,0,239.03225806451613,1.096774193548387,217.94117647058823
PRV51042,142,48050,338.38028169014086,625.7915694564421,3300,0,310.0,2.183098591549296,12.440849962018063,2.232394366197183,4.517366792390155,21,267.90453834115806,546.6920341583525,0.0,0.30985915492957744,0.2535211267605634,73.015625,12.010483855405031,27,100,18.03125,2308,2.2376080451633005,7312.265625,935970,1153.46875,147644,0.0,0.4609375,3,52,128,142,351,0,375.390625,1.109375,338.38028169014086
PRV51043,23,4480,194.7826086956522,297.6402582315741,1100,0,0.0,0.0,0.0,1.0,0.0,1,194.7826086956522,297.6402582315741,0.0,0.2608695652173913,0.21739130434782608,72.8,13.805414650933542,34,94,17.6,352,1.5694450913417908,4657.5,93150,971.3,19426,0.0,0.45,2,6,20,23,290,0,224.0,1.15,194.7826086956522
PRV51044,59,21330,361.52542372881356,633.149798583193,3300,10,130.0,2.2033898305084745,13.527468429238073,3.152542372881356,5.653236971194816,21,246.59165361059678,438.40278712927153,0.0,0.3389830508474576,0.2542372881355932,69.82051282051282,11.780608050770718,32,96,17.76923076923077,693,2.0191391920625676,4968.717948717948,193780,1118.2051282051282,43610,0.0,0.5128205128205128,3,1,39,59,320,0,546.9230769230769,1.5128205128205128,361.52542372881356
PRV51045,31,8390,270.64516129032256,602.7212483609703,3300,0,40.0,1.2903225806451613,7.184212081070997,3.2580645161290325,5.591468155058406,21,152.34869431643625,216.53371235120673,0.0,0.3225806451612903,0.16129032258064516,71.37931034482759,9.882935484617082,50,98,17.724137931034484,514,2.0335850069017436,5973.448275862069,173230,997.3793103448276,28924,0.0,0.3793103448275862,2,16,29,31,321,0,289.3103448275862,1.0689655172413792,270.64516129032256
PRV51046,38,109370,2878.157894736842,7053.672555125875,38000,0,8644.0,227.47368421052633,440.1691773558978,2.6315789473684212,3.858448453273911,21,772.2263993316625,1744.1514209285876,0.21052631578947367,0.18421052631578946,0.34210526315789475,71.03846153846153,16.40361123467822,26,100,17.346153846153847,451,2.4485474500986526,9684.23076923077,251790,1344.0,34944,0.0,0.34615384615384615,2,6,26,38,337,0,4206.538461538462,1.4615384615384615,2878.157894736842
PRV51047,11,2530,230.0,371.80640123591206,1300,10,0.0,0.0,0.0,4.090909090909091,6.8184242381146305,21,206.60173160173161,380.7903835753459,0.0,0.2727272727272727,0.18181818181818182,70.54545454545455,12.596536320462352,46,90,18.09090909090909,199,2.5477262590217755,5769.090909090909,63460,1353.8181818181818,14892,0.0,0.5454545454545454,2,10,11,11,308,0,230.0,1.0,230.0
PRV51048,38,27700,728.9473684210526,1574.7102512949575,7000,10,4352.0,114.52631578947368,331.68193302344315,1.605263157894737,1.8821993128254422,11,335.73763955342906,657.1062101579204,0.10526315789473684,0.4473684210526316,0.2631578947368421,71.24242424242425,14.491442093159462,45,100,17.09090909090909,564,1.774183551024886,6699.69696969697,221090,1034.3030303030303,34132,0.0,0.3939393939393939,2,15,33,38,362,0,839.3939393939394,1.1515151515151516,728.9473684210526
PRV51049,71,21720,305.9154929577465,644.0465321804644,3300,0,190.0,2.676056338028169,13.93430981210185,2.788732394366197,5.593147575273941,21,171.2290409121395,280.70899810285493,0.0,0.323943661971831,0.22535211267605634,70.04615384615384,11.561561812249309,28,90,17.584615384615386,1143,2.4678704616297464,5462.307692307692,355050,1444.1538461538462,93870,0.0,0.4461538461538462,2,35,65,71,366,0,334.15384615384613,1.0923076923076922,305.9154929577465
PRV51052,46,30800,669.5652173913044,1588.238656180332,9000,0,2346.0,51.0,219.92433042096798,3.282608695652174,5.961592044927674,21,328.3695652173913,660.6269115541445,0.043478260869565216,0.2391304347826087,0.2608695652173913,70.27027027027027,12.794635700273094,42,98,17.864864864864863,661,2.6787451681105607,4927.8378378378375,182330,877.027027027027,32450,0.0,0.4594594594594595,2,17,37,46,356,1,832.4324324324324,1.2432432432432432,669.5652173913044
PRV51053,1,8000,8000.0,714.121955497346,8000,8000,1068.0,1068.0,16.145847942957392,6.0,4.655495467967826,6,1333.3333333333333,511.57051709963656,1.0,0.0,1.0,68.0,12.648275880536186,68,68,18.0,18,2.3106668488879367,8090.0,8090,1068.0,1068,0.0,1.0,1,1,1,1,0,0,8000.0,1.0,8000.0
PRV51054,57,15130,265.43859649122805,417.09056131834507,1900,0,140.0,2.456140350877193,14.177535267657216,3.3508771929824563,5.884274527653513,21,180.8249791144528,321.1471634894683,0.0,0.24561403508771928,0.24561403508771928,70.425,11.7077390578264,36,90,18.425,737,2.0366828233863314,4777.25,191090,1056.3,42252,0.0,0.4,2,3,40,57,351,0,378.25,1.425,265.43859649122805
PRV51055,22,21640,983.6363636363636,3395.7838641391845,16000,0,2206.0,100.27272727272727,313.577389524148,1.5909090909090908,1.6521008532886934,7,264.04761904761904,532.5685063048559,0.09090909090909091,0.13636363636363635,0.18181818181818182,68.72727272727273,17.68287258009803,29,88,17.318181818181817,381,2.079064891366025,6506.363636363636,143140,939.1818181818181,20662,0.0,0.45454545454545453,2,6,22,22,363,0,983.6363636363636,1.0,983.6363636363636
PRV51056,22,14700,668.1818181818181,1288.2385033674632,5000,0,2146.0,97.54545454545455,314.11367782604214,1.7272727272727273,1.4534628005401833,6,288.25757575757575,409.237410970403,0.09090909090909091,0.18181818181818182,0.2727272727272727,76.52380952380952,12.651557404600618,44,94,16.571428571428573,348,2.181087539999909,10061.42857142857,211290,1952.952380952381,41012,0.0,0.42857142857142855,2,5,21,22,265,0,700.0,1.0476190476190477,668.1818181818181
PRV51057,5,6830,1366.0,1273.8838251583227,3300,30,0.0,0.0,0.0,1.0,0.0,1,1366.0,1273.8838251583227,0.0,0.0,0.8,78.25,7.410578025138569,70,88,19.0,76,1.8257418583505534,18370.0,73480,1281.5,5126,0.0,0.5,1,1,4,5,256,0,1707.5,1.25,1366.0
PRV51058,83,107030,1289.5180722891566,6524.930595577891,57000,0,5540.0,66.74698795180723,255.5086196519144,2.3012048192771086,4.259093398774988,21,331.7745015831479,909.7997039411387,0.060240963855421686,0.30120481927710846,0.21686746987951808,73.14666666666666,12.160740257221333,27,98,17.52,1314,2.4069718555715425,6760.4,507030,1247.3866666666668,93554,0.0,0.4666666666666667,2,31,75,83,358,0,1427.0666666666666,1.1066666666666667,1289.5180722891566
PRV51059,96,421060,4386.041666666667,10846.377176314554,57000,10,26940.0,280.625,469.8416586580275,3.4791666666666665,5.767384094912148,36,851.4038788179413,1448.3469276877888,0.2604166666666667,0.3125,0.375,73.4390243902439,13.005314735988277,33,96,17.975609756097562,1474,2.5091221708103006,12614.024390243903,1034350,1234.3170731707316,101214,0.0,0.2926829268292683,2,30,82,96,364,1,5134.878048780488,1.170731707317073,4386.041666666667
PRV51060,42,43710,1040.7142857142858,2605.1781389932817,14000,10,5340.0,127.14285714285714,350.0584321557545,3.3095238095238093,5.528145700835243,21,375.34769463340893,644.9025491482018,0.11904761904761904,0.2619047619047619,0.40476190476190477,71.47619047619048,12.192036775835355,45,92,17.476190476190474,734,2.2764766875976084,5247.857142857143,220410,1147.7142857142858,48204,0.0,0.5238095238095238,2,28,42,42,345,0,1040.7142857142858,1.0,1040.7142857142858
PRV51061,145,54940,378.8965517241379,846.8914705174736,6700,0,1328.0,9.158620689655173,89.26635205493389,3.393103448275862,6.1579855018190015,21,216.11954022988505,450.8844296841864,0.006896551724137931,0.31724137931034485,0.2206896551724138,74.31343283582089,13.045618044320452,33,94,17.955223880597014,1203,2.2457558343016415,7201.492537313433,482500,1262.7164179104477,84602,0.0,0.3582089552238806,3,6,67,145,363,0,820.0,2.1641791044776117,378.8965517241379
PRV51062,397,153380,386.3476070528967,1582.0120515942547,25000,0,3944.0,9.934508816120907,93.11514400734245,2.596977329974811,4.927124566819832,21,237.8050173472829,520.8298664919024,0.007556675062972292,0.29219143576826195,0.2040302267002519,71.74698795180723,13.457311518160811,33,100,18.0,2988,2.2750291373425475,6121.746987951808,1016210,965.3855421686746,160254,0.0,0.39156626506024095,2,6,166,397,374,0,923.9759036144578,2.391566265060241,386.3476070528967
PRV51063,149,51110,343.02013422818794,649.1935794860635,3300,0,160.0,1.0738255033557047,7.723335961535702,2.610738255033557,5.119796513845919,21,250.72269847536333,515.2385633061664,0.0,0.2483221476510067,0.2348993288590604,69.13913043478261,14.515501064966653,33,98,17.57391304347826,2021,2.3058311648499523,6826.695652173913,785070,923.8869565217391,106247,0.008695652173913044,0.4260869565217391,3,3,115,149,361,0,444.4347826086956,1.2956521739130435,343.02013422818794
PRV51064,303,360320,1189.1749174917493,3480.8675241896503,37000,0,38948.0,128.54125412541254,345.6859925013839,2.9504950495049505,5.061953077559342,30,434.2684727210062,1074.0098900597434,0.1188118811881188,0.2706270627062706,0.30363036303630364,72.68722466960352,13.858768182554892,29,100,17.47136563876652,3966,2.1987163156062666,7238.105726872247,1643050,1174.273127753304,266560,0.004405286343612335,0.44933920704845814,3,111,227,303,377,1,1587.3127753303966,1.3348017621145374,1189.1749174917493
PRV51065,28,76570,2734.6428571428573,3990.1819155994285,11000,0,9722.0,360.0740740740741,510.319502176817,3.9285714285714284,5.054726951108689,21,597.8373015873016,998.674136352416,0.35714285714285715,0.42857142857142855,0.35714285714285715,75.57692307692308,10.135770624567536,52,91,17.384615384615383,452,2.0799408275606894,7771.538461538462,202060,1332.923076923077,34656,0.0,0.4230769230769231,2,9,26,28,355,0,2945.0,1.0769230769230769,2734.6428571428573
PRV51066,24,24790,1032.9166666666667,3108.2911272730003,15000,0,2236.0,93.16666666666667,300.93530529170965,2.0833333333333335,4.085144525852354,21,466.8452380952381,922.0908813471004,0.08333333333333333,0.16666666666666666,0.25,68.52380952380952,14.002210709809532,36,89,18.19047619047619,382,1.8873009198071093,6919.047619047619,145300,1052.4761904761904,22102,0.047619047619047616,0.3333333333333333,2,7,21,24,345,0,1180.4761904761904,1.1428571428571428,1032.9166666666667
PRV51067,58,334520,5767.586206896552,15030.416215635716,83000,0,13096.0,225.79310344827587,434.82001756002603,3.310344827586207,5.242226982748552,24,1111.030578898226,2585.215030383027,0.20689655172413793,0.29310344827586204,0.3275862068965517,67.83673469387755,16.013466909104338,26,91,17.775510204081634,871,2.2292123620467477,12920.408163265307,633100,1081.3061224489795,52984,0.0,0.30612244897959184,2,21,49,58,327,1,6826.938775510204,1.183673469387755,5767.586206896552
PRV51068,261,143260,548.8888888888889,1833.7386964443992,19000,0,8984.0,34.55384615384615,184.76490588981025,2.375478927203065,4.103095953589427,21,266.7472043895303,586.7721743807605,0.034482758620689655,0.29118773946360155,0.210727969348659,69.94392523364486,14.250496590112439,30,100,17.845794392523363,3819,2.32147679943114,4469.158878504673,956400,923.8971962616822,197714,0.014018691588785047,0.40654205607476634,2,79,214,261,367,0,669.4392523364486,1.219626168224299,548.8888888888889
PRV51070,99,125410,1266.7676767676767,3525.2155320655197,22000,0,10980.0,110.9090909090909,322.9086270868653,2.909090909090909,5.328190160796664,21,388.44877344877347,912.1763439948929,0.10101010101010101,0.23232323232323232,0.26262626262626265,70.69565217391305,15.275224411392928,28,99,17.92753623188406,1237,2.384501677991529,6647.246376811594,458660,1081.768115942029,74642,0.0,0.4782608695652174,3,46,69,99,359,0,1817.536231884058,1.434782608695652,1266.7676767676767
PRV51071,24,8550,356.25,728.391990142909,3200,0,50.0,2.0833333333333335,7.210600087592462,3.0833333333333335,5.702148082400456,21,297.9586834733894,720.9513712885339,0.0,0.20833333333333334,0.20833333333333334,68.41666666666667,13.764847056642278,39,91,17.125,411,2.2901015735969676,6475.0,155400,707.8333333333334,16988,0.0,0.2916666666666667,2,11,24,24,350,0,356.25,1.0,356.25
PRV51072,212,119170,562.122641509434,1647.668962074742,14000,0,12178.0,57.71563981042654,237.85052267166438,2.5377358490566038,4.643038979275207,21,251.5320999754962,507.23048177576356,0.05660377358490566,0.3490566037735849,0.23113207547169812,70.8875,11.801816031239436,30,100,17.59375,2815,2.3156478235619713,6484.4375,1037510,1194.25,191080,0.025,0.41875,3,47,160,212,360,0,744.8125,1.325,562.122641509434
PRV51074,39,41170,1055.6410256410256,2662.095331117354,15000,0,5420.0,138.97435897435898,361.1487146067093,2.8974358974358974,5.046076494585053,21,398.18573583279465,631.7513787886556,0.1282051282051282,0.4358974358974359,0.3333333333333333,72.8974358974359,15.062667115115525,38,95,17.384615384615383,678,2.434568854247683,7320.51282051282,285500,1113.7948717948718,43438,0.0,0.38461538461538464,2,14,39,39,371,0,1055.6410256410256,1.0,1055.6410256410256
